prb_id,probe_src,dst_addr,hop,hop_from,hop_to,rtt
1609955,28.47.25.44,8.8.8.8,4,192.168.3.1,194.149.162.250,7.225
1609955,28.47.25.44,8.8.8.8,5,194.149.162.250,193.90.113.18,10.852
1609955,28.47.25.44,8.8.8.8,6,193.90.113.18,62.115.43.72,24.485
1609955,28.47.25.44,8.8.8.8,7,62.115.43.72,8.8.8.8,15.9
457293,10.104.20.243,142.250.191.46,1,10.104.20.243,10.221.62.13,3.311
457293,10.104.20.243,142.250.191.46,2,10.221.62.13,10.246.126.176,32.662
457293,10.104.20.243,142.250.191.46,3,10.246.126.176,193.90.113.18,26.317
457293,10.104.20.243,142.250.191.46,4,193.90.113.18,*,
457293,10.104.20.243,142.250.191.46,5,212.27.35.12,212.27.35.12,11.434
457293,10.104.20.243,142.250.191.46,6,212.27.35.12,212.27.35.12,17.157
457293,10.104.20.243,142.250.191.46,7,212.27.35.12,142.250.191.46,81.411
1291268,44.82.218.66,142.250.191.46,1,44.82.218.66,212.27.35.12,29.281
1291268,44.82.218.66,142.250.191.46,2,212.27.35.12,49.231.119.167,7.551
1291268,44.82.218.66,142.250.191.46,3,49.231.119.167,10.114.211.176,21.981
1291268,44.82.218.66,142.250.191.46,4,10.114.211.176,10.241.98.137,9.81
1291268,44.82.218.66,142.250.191.46,5,10.241.98.137,62.115.43.72,42.728
1291268,44.82.218.66,142.250.191.46,6,62.115.43.72,194.149.162.248,58.049
1291268,44.82.218.66,142.250.191.46,7,194.149.162.248,10.100.99.1,53.618
1291268,44.82.218.66,142.250.191.46,8,10.100.99.1,62.115.43.72,33.002
1291268,44.82.218.66,142.250.191.46,9,62.115.43.72,*,
1291268,44.82.218.66,142.250.191.46,10,49.231.119.167,10.192.249.151,28.048
1291268,44.82.218.66,142.250.191.46,11,10.192.249.151,192.168.1.1,64.621
1291268,44.82.218.66,142.250.191.46,12,192.168.1.1,49.228.5.78,24.41
1291268,44.82.218.66,142.250.191.46,13,49.228.5.78,142.250.191.46,48.258
956157,106.169.65.195,20.157.222.42,1,106.169.65.195,49.228.5.64,49.227
956157,106.169.65.195,20.157.222.42,2,49.228.5.64,*,
956157,106.169.65.195,20.157.222.42,3,49.228.5.64,49.228.5.64,5.296
956157,106.169.65.195,20.157.222.42,4,49.228.5.64,10.181.224.1,41.744
956157,106.169.65.195,20.157.222.42,5,10.181.224.1,10.181.224.1,19.537
956157,106.169.65.195,20.157.222.42,6,10.181.224.1,194.149.162.248,46.916
956157,106.169.65.195,20.157.222.42,7,194.149.162.248,10.49.44.42,55.835
956157,106.169.65.195,20.157.222.42,8,10.49.44.42,193.75.2.49,36.385
956157,106.169.65.195,20.157.222.42,9,193.75.2.49,194.149.162.248,57.486
956157,106.169.65.195,20.157.222.42,10,194.149.162.248,49.228.5.64,15.778
956157,106.169.65.195,20.157.222.42,11,49.228.5.64,10.252.211.10,17.412
956157,106.169.65.195,20.157.222.42,12,10.252.211.10,212.27.35.12,59.072
956157,106.169.65.195,20.157.222.42,13,212.27.35.12,20.157.222.42,47.941
1472861,98.197.221.37,142.250.191.46,1,98.197.221.37,10.100.99.1,23.336
1472861,98.197.221.37,142.250.191.46,2,10.100.99.1,212.27.35.12,37.103
1472861,98.197.221.37,142.250.191.46,3,212.27.35.12,10.56.187.86,46.015
1472861,98.197.221.37,142.250.191.46,4,10.56.187.86,10.100.99.1,12.316
1472861,98.197.221.37,142.250.191.46,5,10.100.99.1,*,
1472861,98.197.221.37,142.250.191.46,6,192.168.2.1,212.27.35.12,41.205
1472861,98.197.221.37,142.250.191.46,7,212.27.35.12,194.149.162.248,28.363
1472861,98.197.221.37,142.250.191.46,8,194.149.162.248,193.75.2.49,52.829
1472861,98.197.221.37,142.250.191.46,9,193.75.2.49,193.90.113.16,58.958
1472861,98.197.221.37,142.250.191.46,10,193.90.113.16,10.165.170.193,55.97
1472861,98.197.221.37,142.250.191.46,11,10.165.170.193,10.181.224.1,50.293
1472861,98.197.221.37,142.250.191.46,12,10.181.224.1,62.115.112.84,33.484
1472861,98.197.221.37,142.250.191.46,13,62.115.112.84,*,
1472861,98.197.221.37,142.250.191.46,14,194.149.162.248,142.250.191.46,119.854
415108,211.225.237.37,192.203.230.10,1,211.225.237.37,193.90.113.18,36.585
415108,211.225.237.37,192.203.230.10,2,193.90.113.18,62.115.112.84,49.663
415108,211.225.237.37,192.203.230.10,3,62.115.112.84,193.75.2.49,7.975
415108,211.225.237.37,192.203.230.10,4,193.75.2.49,62.115.112.84,46.643
415108,211.225.237.37,192.203.230.10,5,62.115.112.84,49.231.119.167,11.353
415108,211.225.237.37,192.203.230.10,6,49.231.119.167,*,
415108,211.225.237.37,192.203.230.10,7,62.115.112.84,*,
415108,211.225.237.37,192.203.230.10,8,49.228.5.78,192.203.230.10,66.312
192134,127.80.99.229,8.8.8.8,1,127.80.99.229,10.181.224.1,5.38
192134,127.80.99.229,8.8.8.8,2,10.181.224.1,193.75.2.49,44.07
192134,127.80.99.229,8.8.8.8,3,193.75.2.49,8.8.8.8,95.185
504109,204.10.68.47,1.1.1.1,1,204.10.68.47,49.228.5.78,43.982
504109,204.10.68.47,1.1.1.1,2,49.228.5.78,193.90.113.18,43.072
504109,204.10.68.47,1.1.1.1,3,193.90.113.18,195.0.240.164,50.825
504109,204.10.68.47,1.1.1.1,4,195.0.240.164,*,
504109,204.10.68.47,1.1.1.1,5,49.231.119.167,193.90.113.18,40.286
504109,204.10.68.47,1.1.1.1,6,193.90.113.18,10.141.3.28,30.896
504109,204.10.68.47,1.1.1.1,7,10.141.3.28,10.55.235.50,35.683
504109,204.10.68.47,1.1.1.1,8,10.55.235.50,49.228.5.64,28.441
504109,204.10.68.47,1.1.1.1,9,49.228.5.64,10.239.22.70,52.512
504109,204.10.68.47,1.1.1.1,10,10.239.22.70,10.191.24.149,20.897
504109,204.10.68.47,1.1.1.1,11,10.191.24.149,*,
504109,204.10.68.47,1.1.1.1,12,194.149.162.250,49.231.119.167,46.469
504109,204.10.68.47,1.1.1.1,13,49.231.119.167,10.7.225.106,25.922
504109,204.10.68.47,1.1.1.1,14,10.7.225.106,10.236.66.109,69.474
504109,204.10.68.47,1.1.1.1,15,10.236.66.109,1.1.1.1,104.042
336998,120.110.206.151,20.157.222.42,1,120.110.206.151,193.90.113.18,7.079
336998,120.110.206.151,20.157.222.42,2,193.90.113.18,49.228.5.64,41.395
336998,120.110.206.151,20.157.222.42,3,49.228.5.64,10.192.4.44,6.182
336998,120.110.206.151,20.157.222.42,4,10.192.4.44,193.75.2.49,37.471
336998,120.110.206.151,20.157.222.42,5,193.75.2.49,10.168.37.227,47.94
336998,120.110.206.151,20.157.222.42,6,10.168.37.227,192.168.2.1,53.293
336998,120.110.206.151,20.157.222.42,7,192.168.2.1,10.253.103.146,50.331
336998,120.110.206.151,20.157.222.42,8,10.253.103.146,49.231.119.167,31.823
336998,120.110.206.151,20.157.222.42,9,49.231.119.167,194.149.162.248,62.138
336998,120.110.206.151,20.157.222.42,10,194.149.162.248,212.27.35.12,54.858
336998,120.110.206.151,20.157.222.42,11,212.27.35.12,192.168.2.1,36.706
336998,120.110.206.151,20.157.222.42,12,192.168.2.1,10.181.224.1,49.774
336998,120.110.206.151,20.157.222.42,13,10.181.224.1,20.157.222.42,28.081
968898,49.176.84.132,1.1.1.1,1,49.176.84.132,10.31.239.64,12.152
968898,49.176.84.132,1.1.1.1,2,10.31.239.64,*,
968898,49.176.84.132,1.1.1.1,3,192.168.3.1,49.228.5.78,23.69
968898,49.176.84.132,1.1.1.1,4,49.228.5.78,1.1.1.1,63.086
413143,84.181.163.173,1.1.1.1,1,84.181.163.173,10.161.190.42,31.437
413143,84.181.163.173,1.1.1.1,2,10.161.190.42,192.168.2.1,19.317
413143,84.181.163.173,1.1.1.1,3,192.168.2.1,192.168.1.1,14.485
413143,84.181.163.173,1.1.1.1,4,192.168.1.1,49.228.5.64,24.64
413143,84.181.163.173,1.1.1.1,5,49.228.5.64,194.149.162.250,10.978
413143,84.181.163.173,1.1.1.1,6,194.149.162.250,1.1.1.1,114.295
712465,89.88.179.96,20.157.222.42,1,89.88.179.96,10.96.191.173,50.918
712465,89.88.179.96,20.157.222.42,2,10.96.191.173,*,
712465,89.88.179.96,20.157.222.42,3,193.90.113.18,192.168.1.1,20.834
712465,89.88.179.96,20.157.222.42,4,192.168.1.1,194.149.162.248,24.428
712465,89.88.179.96,20.157.222.42,5,194.149.162.248,10.5.17.147,25.589
712465,89.88.179.96,20.157.222.42,6,10.5.17.147,194.149.162.248,27.893
712465,89.88.179.96,20.157.222.42,7,194.149.162.248,62.115.112.84,27.702
712465,89.88.179.96,20.157.222.42,8,62.115.112.84,212.27.35.12,51.418
712465,89.88.179.96,20.157.222.42,9,212.27.35.12,194.149.162.248,52.827
712465,89.88.179.96,20.157.222.42,10,194.149.162.248,20.157.222.42,57.925
1714496,91.0.125.67,142.250.191.46,1,91.0.125.67,10.226.222.161,42.756
1714496,91.0.125.67,142.250.191.46,2,10.226.222.161,194.149.162.248,5.076
1714496,91.0.125.67,142.250.191.46,3,194.149.162.248,10.87.145.113,10.428
1714496,91.0.125.67,142.250.191.46,4,10.87.145.113,192.168.3.1,8.213
1714496,91.0.125.67,142.250.191.46,5,192.168.3.1,142.250.191.46,28.588
1656966,7.122.114.14,142.250.191.46,1,7.122.114.14,10.221.182.16,37.016
1656966,7.122.114.14,142.250.191.46,2,10.221.182.16,194.149.162.250,33.934
1656966,7.122.114.14,142.250.191.46,3,194.149.162.250,49.228.5.64,13.427
1656966,7.122.114.14,142.250.191.46,4,49.228.5.64,212.27.35.12,52.773
1656966,7.122.114.14,142.250.191.46,5,212.27.35.12,192.168.3.1,16.752
1656966,7.122.114.14,142.250.191.46,6,192.168.3.1,192.168.2.1,15.87
1656966,7.122.114.14,142.250.191.46,7,192.168.2.1,193.75.2.49,22.842
1656966,7.122.114.14,142.250.191.46,8,193.75.2.49,192.168.3.1,38.695
1656966,7.122.114.14,142.250.191.46,9,192.168.3.1,212.27.35.12,39.341
1656966,7.122.114.14,142.250.191.46,10,212.27.35.12,193.75.2.49,64.065
1656966,7.122.114.14,142.250.191.46,11,193.75.2.49,*,
1656966,7.122.114.14,142.250.191.46,12,49.231.119.167,10.55.20.4,28.438
1656966,7.122.114.14,142.250.191.46,13,10.55.20.4,*,
1656966,7.122.114.14,142.250.191.46,14,49.228.5.78,10.148.226.157,39.564
1656966,7.122.114.14,142.250.191.46,15,10.148.226.157,142.250.191.46,78.111
1930378,198.104.97.248,192.203.230.10,1,198.104.97.248,212.27.35.12,15.763
1930378,198.104.97.248,192.203.230.10,2,212.27.35.12,192.168.2.1,25.43
1930378,198.104.97.248,192.203.230.10,3,192.168.2.1,*,
1930378,198.104.97.248,192.203.230.10,4,194.149.162.250,10.26.183.15,44.683
1930378,198.104.97.248,192.203.230.10,5,10.26.183.15,192.168.3.1,16.146
1930378,198.104.97.248,192.203.230.10,6,192.168.3.1,10.164.198.46,24.073
1930378,198.104.97.248,192.203.230.10,7,10.164.198.46,193.90.113.16,28.607
1930378,198.104.97.248,192.203.230.10,8,193.90.113.16,193.90.113.16,53.932
1930378,198.104.97.248,192.203.230.10,9,193.90.113.16,212.27.35.12,39.023
1930378,198.104.97.248,192.203.230.10,10,212.27.35.12,192.203.230.10,10.679
925516,127.101.226.231,142.250.191.46,1,127.101.226.231,10.63.148.92,18.272
925516,127.101.226.231,142.250.191.46,2,10.63.148.92,193.75.2.49,32.995
925516,127.101.226.231,142.250.191.46,3,193.75.2.49,193.90.113.18,44.763
925516,127.101.226.231,142.250.191.46,4,193.90.113.18,192.168.2.1,41.034
925516,127.101.226.231,142.250.191.46,5,192.168.2.1,10.160.99.192,53.325
925516,127.101.226.231,142.250.191.46,6,10.160.99.192,49.228.5.64,33.042
925516,127.101.226.231,142.250.191.46,7,49.228.5.64,192.168.3.1,58.846
925516,127.101.226.231,142.250.191.46,8,192.168.3.1,212.27.35.12,33.87
925516,127.101.226.231,142.250.191.46,9,212.27.35.12,194.149.162.250,59.451
925516,127.101.226.231,142.250.191.46,10,194.149.162.250,10.252.113.115,42.428
925516,127.101.226.231,142.250.191.46,11,10.252.113.115,10.60.164.72,32.204
925516,127.101.226.231,142.250.191.46,12,10.60.164.72,142.250.191.46,147.295
1865259,146.0.103.140,8.8.8.8,1,146.0.103.140,10.180.19.48,31.902
1865259,146.0.103.140,8.8.8.8,2,10.180.19.48,10.63.175.216,6.754
1865259,146.0.103.140,8.8.8.8,3,10.63.175.216,8.8.8.8,134.627
941427,29.234.144.74,1.1.1.1,1,29.234.144.74,193.90.113.16,35.484
941427,29.234.144.74,1.1.1.1,2,193.90.113.16,49.228.5.78,8.192
941427,29.234.144.74,1.1.1.1,3,49.228.5.78,10.244.218.159,35.671
941427,29.234.144.74,1.1.1.1,4,10.244.218.159,193.90.113.16,9.594
941427,29.234.144.74,1.1.1.1,5,193.90.113.16,10.162.43.31,48.464
941427,29.234.144.74,1.1.1.1,6,10.162.43.31,193.90.113.16,58.631
941427,29.234.144.74,1.1.1.1,7,193.90.113.16,1.1.1.1,133.941
523297,10.86.151.146,1.1.1.1,1,10.86.151.146,192.168.1.1,9.683
523297,10.86.151.146,1.1.1.1,2,192.168.1.1,192.168.3.1,9.531
523297,10.86.151.146,1.1.1.1,3,192.168.3.1,192.168.1.1,16.593
523297,10.86.151.146,1.1.1.1,4,192.168.1.1,10.100.99.1,23.91
523297,10.86.151.146,1.1.1.1,5,10.100.99.1,62.115.112.84,11.214
523297,10.86.151.146,1.1.1.1,6,62.115.112.84,10.253.140.164,51.226
523297,10.86.151.146,1.1.1.1,7,10.253.140.164,192.168.3.1,46.874
523297,10.86.151.146,1.1.1.1,8,192.168.3.1,1.1.1.1,139.148
1085574,146.65.104.23,142.250.191.46,1,146.65.104.23,195.0.240.164,31.863
1085574,146.65.104.23,142.250.191.46,2,195.0.240.164,192.168.2.1,18.048
1085574,146.65.104.23,142.250.191.46,3,192.168.2.1,192.168.1.1,48.617
1085574,146.65.104.23,142.250.191.46,4,192.168.1.1,195.0.240.164,9.637
1085574,146.65.104.23,142.250.191.46,5,195.0.240.164,193.90.113.16,19.945
1085574,146.65.104.23,142.250.191.46,6,193.90.113.16,212.27.35.12,35.593
1085574,146.65.104.23,142.250.191.46,7,212.27.35.12,10.122.105.118,33.612
1085574,146.65.104.23,142.250.191.46,8,10.122.105.118,49.228.5.64,28.046
1085574,146.65.104.23,142.250.191.46,9,49.228.5.64,193.90.113.16,38.71
1085574,146.65.104.23,142.250.191.46,10,193.90.113.16,192.168.2.1,55.849
1085574,146.65.104.23,142.250.191.46,11,192.168.2.1,10.181.224.1,38.425
1085574,146.65.104.23,142.250.191.46,12,10.181.224.1,10.100.99.1,25.689
1085574,146.65.104.23,142.250.191.46,13,10.100.99.1,142.250.191.46,49.483
472418,127.128.23.119,8.8.8.8,1,127.128.23.119,49.228.5.78,41.908
472418,127.128.23.119,8.8.8.8,2,49.228.5.78,10.190.250.148,33.993
472418,127.128.23.119,8.8.8.8,3,10.190.250.148,10.100.99.1,45.622
472418,127.128.23.119,8.8.8.8,4,10.100.99.1,10.141.184.20,12.173
472418,127.128.23.119,8.8.8.8,5,10.141.184.20,62.115.112.84,38.289
472418,127.128.23.119,8.8.8.8,6,62.115.112.84,*,
472418,127.128.23.119,8.8.8.8,7,49.228.5.78,212.27.35.12,33.083
472418,127.128.23.119,8.8.8.8,8,212.27.35.12,62.115.43.72,54.172
472418,127.128.23.119,8.8.8.8,9,62.115.43.72,*,
472418,127.128.23.119,8.8.8.8,10,193.90.113.16,49.228.5.64,17.144
472418,127.128.23.119,8.8.8.8,11,49.228.5.64,62.115.43.72,43.956
472418,127.128.23.119,8.8.8.8,12,62.115.43.72,193.90.113.18,66.327
472418,127.128.23.119,8.8.8.8,13,193.90.113.18,10.155.96.45,35.88
472418,127.128.23.119,8.8.8.8,14,10.155.96.45,49.231.119.167,62.198
472418,127.128.23.119,8.8.8.8,15,49.231.119.167,8.8.8.8,103.152
294716,118.182.101.244,142.250.191.46,1,118.182.101.244,49.228.5.64,29.481
294716,118.182.101.244,142.250.191.46,2,49.228.5.64,62.115.112.84,22.555
294716,118.182.101.244,142.250.191.46,3,62.115.112.84,*,
294716,118.182.101.244,142.250.191.46,4,194.149.162.248,10.156.197.107,10.975
294716,118.182.101.244,142.250.191.46,5,10.156.197.107,142.250.191.46,38.174
1162352,221.21.171.7,1.1.1.1,1,221.21.171.7,194.149.162.250,24.591
1162352,221.21.171.7,1.1.1.1,2,194.149.162.250,10.95.27.158,46.759
1162352,221.21.171.7,1.1.1.1,3,10.95.27.158,1.1.1.1,110.946
1094477,140.106.163.70,20.157.222.42,1,140.106.163.70,*,
1094477,140.106.163.70,20.157.222.42,2,49.228.5.64,192.168.2.1,47.056
1094477,140.106.163.70,20.157.222.42,3,192.168.2.1,192.168.2.1,38.054
1094477,140.106.163.70,20.157.222.42,4,192.168.2.1,193.90.113.18,47.95
1094477,140.106.163.70,20.157.222.42,5,193.90.113.18,20.157.222.42,68.995
1644939,204.30.96.108,1.1.1.1,1,204.30.96.108,193.75.2.49,49.806
1644939,204.30.96.108,1.1.1.1,2,193.75.2.49,49.228.5.64,10.147
1644939,204.30.96.108,1.1.1.1,3,49.228.5.64,62.115.43.72,43.255
1644939,204.30.96.108,1.1.1.1,4,62.115.43.72,62.115.43.72,18.336
1644939,204.30.96.108,1.1.1.1,5,62.115.43.72,195.0.240.164,33.02
1644939,204.30.96.108,1.1.1.1,6,195.0.240.164,193.90.113.16,56.125
1644939,204.30.96.108,1.1.1.1,7,193.90.113.16,10.202.213.77,57.297
1644939,204.30.96.108,1.1.1.1,8,10.202.213.77,194.149.162.250,29.587
1644939,204.30.96.108,1.1.1.1,9,194.149.162.250,193.75.2.49,60.986
1644939,204.30.96.108,1.1.1.1,10,193.75.2.49,10.181.224.1,47.28
1644939,204.30.96.108,1.1.1.1,11,10.181.224.1,*,
1644939,204.30.96.108,1.1.1.1,12,193.90.113.18,1.1.1.1,73.911
1809836,191.11.31.249,8.8.8.8,1,191.11.31.249,193.90.113.16,33.139
1809836,191.11.31.249,8.8.8.8,2,193.90.113.16,10.174.122.175,33.496
1809836,191.11.31.249,8.8.8.8,3,10.174.122.175,193.75.2.49,27.958
1809836,191.11.31.249,8.8.8.8,4,193.75.2.49,10.184.37.131,38.82
1809836,191.11.31.249,8.8.8.8,5,10.184.37.131,10.27.38.191,34.562
1809836,191.11.31.249,8.8.8.8,6,10.27.38.191,193.90.113.18,43.11
1809836,191.11.31.249,8.8.8.8,7,193.90.113.18,10.35.24.127,58.482
1809836,191.11.31.249,8.8.8.8,8,10.35.24.127,10.144.9.156,54.531
1809836,191.11.31.249,8.8.8.8,9,10.144.9.156,192.168.1.1,43.406
1809836,191.11.31.249,8.8.8.8,10,192.168.1.1,194.149.162.248,25.84
1809836,191.11.31.249,8.8.8.8,11,194.149.162.248,*,
1809836,191.11.31.249,8.8.8.8,12,195.0.240.164,10.60.89.162,56.688
1809836,191.11.31.249,8.8.8.8,13,10.60.89.162,*,
1809836,191.11.31.249,8.8.8.8,14,192.168.2.1,8.8.8.8,39.676
544512,81.221.30.41,8.8.8.8,1,81.221.30.41,194.149.162.250,49.904
544512,81.221.30.41,8.8.8.8,2,194.149.162.250,10.211.120.240,31.506
544512,81.221.30.41,8.8.8.8,3,10.211.120.240,10.100.99.1,10.91
544512,81.221.30.41,8.8.8.8,4,10.100.99.1,*,
544512,81.221.30.41,8.8.8.8,5,49.228.5.78,10.100.99.1,52.137
544512,81.221.30.41,8.8.8.8,6,10.100.99.1,8.8.8.8,142.661
1373057,177.70.245.210,1.1.1.1,1,177.70.245.210,194.149.162.250,42.652
1373057,177.70.245.210,1.1.1.1,2,194.149.162.250,193.90.113.18,24.078
1373057,177.70.245.210,1.1.1.1,3,193.90.113.18,*,
1373057,177.70.245.210,1.1.1.1,4,10.100.99.1,192.168.1.1,54.118
1373057,177.70.245.210,1.1.1.1,5,192.168.1.1,192.168.2.1,55.367
1373057,177.70.245.210,1.1.1.1,6,192.168.2.1,1.1.1.1,72.683
1916660,12.26.143.157,142.250.191.46,1,12.26.143.157,10.162.49.76,23.783
1916660,12.26.143.157,142.250.191.46,2,10.162.49.76,10.220.113.140,13.12
1916660,12.26.143.157,142.250.191.46,3,10.220.113.140,10.27.11.14,25.44
1916660,12.26.143.157,142.250.191.46,4,10.27.11.14,10.170.37.2,37.322
1916660,12.26.143.157,142.250.191.46,5,10.170.37.2,192.168.2.1,54.328
1916660,12.26.143.157,142.250.191.46,6,192.168.2.1,10.39.241.137,35.982
1916660,12.26.143.157,142.250.191.46,7,10.39.241.137,10.13.22.202,48.556
1916660,12.26.143.157,142.250.191.46,8,10.13.22.202,193.90.113.16,60.43
1916660,12.26.143.157,142.250.191.46,9,193.90.113.16,193.90.113.16,30.615
1916660,12.26.143.157,142.250.191.46,10,193.90.113.16,10.132.37.6,42.577
1916660,12.26.143.157,142.250.191.46,11,10.132.37.6,142.250.191.46,35.814
809815,88.124.69.103,1.1.1.1,1,88.124.69.103,10.181.224.1,41.036
809815,88.124.69.103,1.1.1.1,2,10.181.224.1,10.195.24.242,44.024
809815,88.124.69.103,1.1.1.1,3,10.195.24.242,10.0.26.68,41.334
809815,88.124.69.103,1.1.1.1,4,10.0.26.68,1.1.1.1,107.576
179229,73.78.54.164,8.8.8.8,1,73.78.54.164,10.39.249.227,7.833
179229,73.78.54.164,8.8.8.8,2,10.39.249.227,10.216.15.144,7.267
179229,73.78.54.164,8.8.8.8,3,10.216.15.144,*,
179229,73.78.54.164,8.8.8.8,4,62.115.112.84,194.149.162.250,11.552
179229,73.78.54.164,8.8.8.8,5,194.149.162.250,212.27.35.12,42.625
179229,73.78.54.164,8.8.8.8,6,212.27.35.12,10.106.167.113,39.183
179229,73.78.54.164,8.8.8.8,7,10.106.167.113,193.75.2.49,47.435
179229,73.78.54.164,8.8.8.8,8,193.75.2.49,192.168.1.1,58.616
179229,73.78.54.164,8.8.8.8,9,192.168.1.1,194.149.162.248,22.106
179229,73.78.54.164,8.8.8.8,10,194.149.162.248,10.192.192.117,29.467
179229,73.78.54.164,8.8.8.8,11,10.192.192.117,10.243.181.156,33.975
179229,73.78.54.164,8.8.8.8,12,10.243.181.156,10.223.244.100,61.143
179229,73.78.54.164,8.8.8.8,13,10.223.244.100,194.149.162.248,63.405
179229,73.78.54.164,8.8.8.8,14,194.149.162.248,8.8.8.8,43.455
795236,198.75.35.98,1.1.1.1,1,198.75.35.98,212.27.35.12,16.033
795236,198.75.35.98,1.1.1.1,2,212.27.35.12,10.100.99.1,36.346
795236,198.75.35.98,1.1.1.1,3,10.100.99.1,193.90.113.16,20.391
795236,198.75.35.98,1.1.1.1,4,193.90.113.16,212.27.35.12,15.974
795236,198.75.35.98,1.1.1.1,5,212.27.35.12,192.168.1.1,45.931
795236,198.75.35.98,1.1.1.1,6,192.168.1.1,1.1.1.1,73.44
722991,144.55.39.126,1.1.1.1,1,144.55.39.126,10.214.119.245,38.205
722991,144.55.39.126,1.1.1.1,2,10.214.119.245,10.100.99.1,48.109
722991,144.55.39.126,1.1.1.1,3,10.100.99.1,62.115.112.84,8.144
722991,144.55.39.126,1.1.1.1,4,62.115.112.84,49.228.5.64,38.636
722991,144.55.39.126,1.1.1.1,5,49.228.5.64,193.90.113.16,47.123
722991,144.55.39.126,1.1.1.1,6,193.90.113.16,194.149.162.248,51.851
722991,144.55.39.126,1.1.1.1,7,194.149.162.248,212.27.35.12,30.676
722991,144.55.39.126,1.1.1.1,8,212.27.35.12,1.1.1.1,101.394
100618,178.65.227.24,1.1.1.1,1,178.65.227.24,194.149.162.248,26.262
100618,178.65.227.24,1.1.1.1,2,194.149.162.248,62.115.43.72,10.449
100618,178.65.227.24,1.1.1.1,3,62.115.43.72,49.228.5.64,15.11
100618,178.65.227.24,1.1.1.1,4,49.228.5.64,62.115.112.84,8.281
100618,178.65.227.24,1.1.1.1,5,62.115.112.84,192.168.2.1,9.957
100618,178.65.227.24,1.1.1.1,6,192.168.2.1,193.90.113.18,12.85
100618,178.65.227.24,1.1.1.1,7,193.90.113.18,193.75.2.49,17.885
100618,178.65.227.24,1.1.1.1,8,193.75.2.49,10.41.30.164,31.878
100618,178.65.227.24,1.1.1.1,9,10.41.30.164,10.14.235.195,35.466
100618,178.65.227.24,1.1.1.1,10,10.14.235.195,193.90.113.18,30.872
